"Lon","Lat"
7423662.9591028,5547658.04177416
7423996.15520341,5547555.80978879
7424012.1605684,5547528.34959371
7427580.96660895,5539855.8920141
7426268.52485697,5548040.20104581
7424192.20197728,5547918.50294275
7425808.58326113,5549853.90626458
7431713.06086437,5548171.91015777
7425674.0444029,5547121.68378737
7431587.54996908,5548332.64441151
7421955.18024104,5548587.5984071
7424417.94113741,5551047.28934769
7423121.41058657,5546090.36476263
7424419.25014298,5545708.37065575
7430917.08081447,5549134.50887351
7425764.18719754,5549390.88653373
7428063.63064228,5544677.60507225
7432413.07119017,5551610.62043604
7423639.76419421,5547283.50201992
7429135.92803658,5551478.47052542
7422250.18201287,5549183.28931692
7423947.55797936,5547537.7418509
7421716.87358876,5552676.56758104
7423614.57573328,5551864.83985918
7423842.7303688,5548974.05891712
7422431.01424074,5546785.55977456
7425190.53075571,5547069.04527706
7436758.88283465,5547081.10590982
7423860.98947581,5546535.71969682
7424009.50931252,5549939.0556003
7429090.43237338,5550368.05560356
7424784.95949549,5548623.51328169
7424343.95593711,5546654.90809555
7423639.3897692,5548926.41503911
7424280.26429364,5548002.12903986
7423875.01282524,5547960.31076163
7423725.99543971,5548222.06989113
7423705.70095389,5547115.34419324
7423376.41022364,5548088.24504482
7422697.03539337,5547902.18912315
7420984.795892,5544534.76486839
7420205.45014928,5552589.92954861
7424468.30226928,5548348.93534258
7423886.43993698,5547498.32625072
7424991.30605253,5548356.19794982
7423871.51383489,5547517.1948102
7424478.92470596,5548071.92633033
7423874.53005444,5545519.76635335
7426707.36770029,5547348.79513228
7422490.07517208,5546994.53420616
7423049.32198822,5545961.30212201
7424515.57256963,5548520.86680371
7430064.6524703,5551147.90328781
7424647.82041035,5546577.17795699
7423958.44202146,5547426.7913486
7431587.54996908,5548332.64441151
7423949.21022002,5547606.81891242
7424176.75035681,5543731.94100916
7425699.10396082,5548650.97434407
7425824.39387412,5547282.19332603
7423958.44202146,5547426.7913486
7424965.90501399,5545979.35444997
7423723.66883431,5547180.74236187
7424845.35057413,5547404.87991346
7429449.15729477,5549803.4584661
7424261.73964221,5548389.43340684
7425953.94863267,5548245.00386959
7427644.62045394,5548546.7029093
7430121.94964134,5550436.80429871
7425490.40010382,5547282.23640461
7424835.73961918,5548455.90969013
7424064.76340066,5546958.48215755
7430826.70609132,5549303.37037908
7422554.89818676,5548200.49794549
7424651.44415017,5545726.48444771
7432123.19402057,5548535.76452484
7432107.54154167,5550726.36099525
7423817.80972435,5548016.54754812
7424621.79194221,5550920.67898759
7422145.41213582,5544965.39626688
7429095.71171408,5550206.60925222
7423947.55797936,5547537.7418509
7425526.89681124,5546540.68937432
7428075.53340544,5545234.95041501
7424578.40072543,5546486.29026629
7424083.33822059,5547527.58164209
7428990.08107678,5542518.58939064
7424445.21231722,5548442.61018378
7423747.3650854,5547796.45431162
7422200.41985841,5548984.25482102
7430838.25477637,5550122.23094539
7429341.82674325,5550629.96968885
7421935.07367448,5550640.23537268
7426499.49287614,5550227.85486414
7430898.74610046,5548679.91484542
7423639.76419421,5547283.50201992
7422725.52481714,5548535.44478006
7424252.08933309,5542874.87660998
7417428.00461324,5548658.17205107
7423188.31905686,5547979.20969029
7428852.02017756,5549970.36881698
7430242.91685906,5549783.24484147
7431185.47959285,5549170.29946531
7425055.67889114,5550692.02193334
7429067.47615464,5548446.53593374
7422262.06490497,5546963.75403359
7424689.00519531,5550799.64564497
7425793.10694043,5550012.88320517
7424363.16702027,5548427.42964158
7428867.38303026,5549248.87110627
7419480.588818,5546682.59939192
7424145.73381364,5545810.81162985
7423453.98877932,5548585.81960279
7424012.1605684,5547528.34959371
7423925.93548627,5547549.63498691
7424466.74259729,5548588.08479057
7428226.86771415,5542265.33302972
7421710.40073586,5548233.81519775
7424600.18816489,5550063.13332924
7424419.25014298,5545708.37065575
7424454.93341234,5547947.59441085
7426635.84747339,5547463.34966849
7424556.24917525,5546497.48511777
7421619.25470269,5549041.29857782
7424479.3682945,5545753.33313879
7427517.23498432,5546469.23133994
7424260.60744798,5547284.14988163
7424222.0297206,5546677.08026496
7423647.1139754,5547982.86905796
7423100.93107167,5549931.36893371
7431273.83382027,5549401.3560748
7425008.95769853,5539736.45519212
7424214.31985005,5546472.32343337
7430904.90513163,5549559.43986286
7422964.28074502,5546012.83294964
7424299.09855366,5545723.89777308
7423806.1722706,5546912.80043121
7426795.78889136,5549979.09478218
7430823.45001853,5549040.65885456
7424526.29601881,5546942.34707744
7429550.53524032,5551622.27946168
7423925.93548627,5547549.63498691
7424393.39919085,5546245.39992475
7423986.34624271,5545876.72545503
7426450.83063076,5543716.5729094
7423976.34226016,5546629.41860039
7422041.5406156,5549300.30783579
7424123.20950772,5547238.45776313
7423806.1722706,5546912.80043121
7416552.57634939,5547589.37122827
7424154.61440281,5547819.06479659
7424216.5966952,5547774.04942819
7427300.04114228,5548422.30132132
7423639.76419421,5547283.50201992
7427936.47544169,5551087.06979376
7424541.72032981,5546802.44503391
7424438.26326274,5548425.0188565
7427164.51704086,5545824.28545766
7425634.77821636,5539717.96924406
7424945.4137672,5548495.26487442
7424083.33822059,5547527.58164209
7424116.07680303,5549175.34042122
